Wijken en buurten,Gemeentenaam,Soort regio,code,Totaal gemiddeld aardgasverbruik (m³),Appartement gemiddeld aardgasverbruik (m³),Tussenwoning gemiddeld aardgasverbruik (m³),Hoekwoning gemiddeld aardgasverbruik (m³),Twee-onder-één-kap-woning gemiddeld aardgasverbruik (m³),Vrijstaande woning gemiddeld aardgasverbruik (m³),Huurwoning gemiddeld aardgasverbruik (m³),Koopwoning gemiddeld aardgasverbruik (m³),Woningen met stadsverwarming (%)
Nederland,Nederland,Land,NL00,1200,800,1100,1350,1550,2050,1000,1400,408
Rotterdam,Rotterdam,Gemeente,GM0599,800,700,950,1200,1700,2450,750,900,1509
Wijk 03 Delfshaven,Rotterdam,Wijk,WK059903,900,850,1250,1300,0,0,850,900,601
Delfshaven,Rotterdam,Buurt,BU05990320,850,850,1050,1500,0,0,900,800,0
Bospolder,Rotterdam,Buurt,BU05990321,900,900,1000,1650,0,0,900,950,0
Tussendijken,Rotterdam,Buurt,BU05990322,900,900,1150,0,0,0,900,950,0
Spangen,Rotterdam,Buurt,BU05990323,950,950,1250,0,0,0,1000,900,0
Nieuwe Westen,Rotterdam,Buurt,BU05990324,1000,1000,1550,2000,0,0,950,1100,0
Middelland,Rotterdam,Buurt,BU05990325,1000,900,1750,2550,0,0,900,1050,0
Oud-Mathenesse,Rotterdam,Buurt,BU05990327,850,850,1000,1150,0,0,850,900,0
Witte Dorp,Rotterdam,Buurt,BU05990328,1050,850,1000,1100,0,0,1050,1050,0
Schiemond,Rotterdam,Buurt,BU05990329,150,150,0,0,0,0,200,0,7709
