Regio,gem besparing MJ/jaar per adres,gem CO2-reductie/jaar per adres,gem kW/jaar opgewekt per gebied,gem kW/jaar potentieel per gebied,aandeel huishoudens aangesloten op stadsverwarming,gem kW/jaar per adres elektriciteit,gem m3/jaar per adres gas,gem totaalverbruik per pand in Mjoules
Totaal Rotterdam,-41971.89907,-1824.765332,0,0,0.19285767,2677.876177,1229.674212,79480.29668
Stadscentrum,-32896.55358,-1407.465756,0,0,0.739769897,2235.885831,463.4047128,66019.50676
Delfshaven,-46311.19328,-1985.344224,0,0,0.103013731,2409.730443,1220.938325,97539.55362
Overschie,-49683.33412,-2191.187146,0,0,0,2817.753753,1456.462329,77853.45764
Noord,-52512.54167,-2262.221752,0,0,0.146699819,2403.85607,1262.220504,85655.4961
Hillegersberg-Schiebroek,-48128.41518,-2122.355716,0,0,0.000596066,3078.889448,1724.318014,68614.82984
Kralingen-Crooswijk,-37264.62814,-1610.925762,0,0,0.340019627,2528.683354,1138.412322,61376.25417
Feijenoord,-47399.97404,-2053.807479,0,0,0.154682547,2497.337784,1218.621636,119661.9818
IJsselmonde,-32487.67555,-1426.272833,0,0,0.067742514,2785.990738,1465.86196,63815.4228
Pernis,-67224.27013,-2974.901474,0,0,0,3149.728246,1700.288723,63385.14807
Prins Alexander,-29247.35165,-1281.629871,0,0,0.392433099,3034.637952,959.0055113,72013.84316
Charlois,-42649.07843,-1843.355955,0,0,0.051306527,2356.6065,1334.843602,77412.20287
Hoogvliet,-35389.61638,-1559.070319,0,0,0.174259177,3089.157314,1391.154202,61026.69906
Hoek van Holland,-44682.87558,-1970.612936,0,0,0.036829636,3160.379688,1663.822686,64875.19371
Spaanse Polder,-60282.56944,-2657.782407,0,0,0,4970.632147,3079.716439,6138.521739
Nieuw Mathenesse,-64757.53333,-2852.633333,0,0,0.166666667,0,0,2619
Waalhaven-Eemhaven,-55305.0813,-2438.260163,0,0,0,2835.238274,1800.205882,3546.1
Vondelingenplaat,-64481.83333,-2850,0,0,0,0,0,0
Botlek-Europoort-Maasvlakte,-68111.16667,-3013.857143,0,0,0,0,0,1086.5
Rotterdam-Noord-West,-73789.83333,-3214.666667,0,0,0,0,0,1305.25
Rivium,0,0,0,0,0,0,0,516.5
Bedrijventerrein Schieveen,0,0,0,0,0,0,0,0
Rozenburg,-40373.05329,-1778.275219,0,0,0,0,0,57607.94703
Centrumwijken,34067.49463,1460.123349,0,0,0.691258091,2392.763688,547.9240576,72053.12001
Stadswijken,44660.71936,1923.700912,0,0,0.188845307,2406.693363,1246.199962,87887.85799
Tuindorpen,60504.09579,2675.284146,0,0,0.006497487,2584.995679,1377.095592,82260.4293
Tuinsteden,40047.78442,1760.435539,0,0,0.046957928,2891.150111,1628.911102,72610.53954
Wijken na 1970,28148.93936,1237.466407,0,0,0.393699828,3093.893419,904.2732693,64717.3879
Landelijk wonen,55498.46939,2449.579502,0,0,0.116749007,3915.686721,1068.8584,82110.36733
Bedrijventerreinen,55757.4391,2458.981813,0,0,0.012559569,1335.483474,711.0985693,34767.75299
